as_of_date,bucket_symbol,bucket_fs,event_ticker,report_date,calendar_quarter,benchmark_instrument,instrument,instrument_role,raw_return,relative_return_vs_benchmark,matched_note_event_date,matched_note_heading,matched_note_path,match_quality,source_workbook,source_sheet,source_row
2026-03-19,.CANCER,CANCER,NTRA US Equity,2026-02-26,,RSP US EQUITY,RSP US EQUITY,benchmark,-0.04885481175661063,0.0,,,,unmatched,buckets/CANCER/CANCER_events.xlsx,Sheet1,6
2026-03-19,.CANCER,CANCER,NTRA US Equity,2026-02-26,,RSP US EQUITY,ADPT US Equity,member,-0.15685019206145964,-0.10799538030484901,,,,unmatched,buckets/CANCER/CANCER_events.xlsx,Sheet1,6
2026-03-19,.CANCER,CANCER,NTRA US Equity,2026-02-26,,RSP US EQUITY,GH US Equity,member,-0.20533556423126978,-0.15648075247465915,,,,unmatched,buckets/CANCER/CANCER_events.xlsx,Sheet1,6
2026-03-19,.CANCER,CANCER,NTRA US Equity,2026-02-26,,RSP US EQUITY,NEO US Equity,member,-0.3117903930131004,-0.26293558125648975,,,,unmatched,buckets/CANCER/CANCER_events.xlsx,Sheet1,6
2026-03-19,.CANCER,CANCER,NTRA US Equity,2026-02-26,,RSP US EQUITY,NTRA US Equity,member,-0.11583356867175004,-0.06697875691513941,,,,unmatched,buckets/CANCER/CANCER_events.xlsx,Sheet1,6
2026-03-19,.CANCER,CANCER,NTRA US Equity,2026-02-26,,RSP US EQUITY,TEM US Equity,member,-0.06771124790151097,-0.018856436144900332,,,,unmatched,buckets/CANCER/CANCER_events.xlsx,Sheet1,6
2026-03-19,.CANCER,CANCER,NTRA US Equity,2026-02-26,,RSP US EQUITY,VCYT US Equity,member,-0.10725201444845789,-0.058397202691847255,,,,unmatched,buckets/CANCER/CANCER_events.xlsx,Sheet1,6
2026-03-19,.CANCER,CANCER,TEM US Equity,2026-02-24,,RSP US EQUITY,RSP US EQUITY,benchmark,-0.02870837039233127,0.0,,,,unmatched,buckets/CANCER/CANCER_events.xlsx,Sheet1,7
2026-03-19,.CANCER,CANCER,TEM US Equity,2026-02-24,,RSP US EQUITY,ADPT US Equity,member,-0.10340479192938203,-0.07469642153705075,,,,unmatched,buckets/CANCER/CANCER_events.xlsx,Sheet1,7
2026-03-19,.CANCER,CANCER,TEM US Equity,2026-02-24,,RSP US EQUITY,GH US Equity,member,-0.16432504271881532,-0.13561667232648406,,,,unmatched,buckets/CANCER/CANCER_events.xlsx,Sheet1,7
2026-03-19,.CANCER,CANCER,TEM US Equity,2026-02-24,,RSP US EQUITY,NEO US Equity,member,-0.24669603524229067,-0.2179876648499594,,,,unmatched,buckets/CANCER/CANCER_events.xlsx,Sheet1,7
2026-03-19,.CANCER,CANCER,TEM US Equity,2026-02-24,,RSP US EQUITY,NTRA US Equity,member,-0.06634058315129641,-0.037632212758965146,,,,unmatched,buckets/CANCER/CANCER_events.xlsx,Sheet1,7
2026-03-19,.CANCER,CANCER,TEM US Equity,2026-02-24,,RSP US EQUITY,TEM US Equity,member,-0.07773109243697475,-0.04902272204464348,,,,unmatched,buckets/CANCER/CANCER_events.xlsx,Sheet1,7
2026-03-19,.CANCER,CANCER,TEM US Equity,2026-02-24,,RSP US EQUITY,VCYT US Equity,member,-0.1162537435338959,-0.08754537314156463,,,,unmatched,buckets/CANCER/CANCER_events.xlsx,Sheet1,7
2026-03-19,.CANCER,CANCER,VCYT US Equity,2026-02-25,2025 Q4,RSP US EQUITY,RSP US EQUITY,benchmark,-0.0471196454948301,0.0,2026-02-25,2025 Q4,buckets/CANCER/VCYT/VCYT.md,exact_date,buckets/CANCER/CANCER_events.xlsx,Sheet1,8
2026-03-19,.CANCER,CANCER,VCYT US Equity,2026-02-25,2025 Q4,RSP US EQUITY,ADPT US Equity,member,-0.2039641943734016,-0.1568445488785715,2026-02-25,2025 Q4,buckets/CANCER/VCYT/VCYT.md,exact_date,buckets/CANCER/CANCER_events.xlsx,Sheet1,8
2026-03-19,.CANCER,CANCER,VCYT US Equity,2026-02-25,2025 Q4,RSP US EQUITY,GH US Equity,member,-0.20003808435685047,-0.15291843886202036,2026-02-25,2025 Q4,buckets/CANCER/VCYT/VCYT.md,exact_date,buckets/CANCER/CANCER_events.xlsx,Sheet1,8
2026-03-19,.CANCER,CANCER,VCYT US Equity,2026-02-25,2025 Q4,RSP US EQUITY,NEO US Equity,member,-0.3060869565217391,-0.258967311026909,2026-02-25,2025 Q4,buckets/CANCER/VCYT/VCYT.md,exact_date,buckets/CANCER/CANCER_events.xlsx,Sheet1,8
2026-03-19,.CANCER,CANCER,VCYT US Equity,2026-02-25,2025 Q4,RSP US EQUITY,NTRA US Equity,member,-0.10082683675879991,-0.05370719126396981,2026-02-25,2025 Q4,buckets/CANCER/VCYT/VCYT.md,exact_date,buckets/CANCER/CANCER_events.xlsx,Sheet1,8
2026-03-19,.CANCER,CANCER,VCYT US Equity,2026-02-25,2025 Q4,RSP US EQUITY,TEM US Equity,member,-0.11363636363636367,-0.06651671814153357,2026-02-25,2025 Q4,buckets/CANCER/VCYT/VCYT.md,exact_date,buckets/CANCER/CANCER_events.xlsx,Sheet1,8
2026-03-19,.CANCER,CANCER,VCYT US Equity,2026-02-25,2025 Q4,RSP US EQUITY,VCYT US Equity,member,-0.16473129894679991,-0.1176116534519698,2026-02-25,2025 Q4,buckets/CANCER/VCYT/VCYT.md,exact_date,buckets/CANCER/CANCER_events.xlsx,Sheet1,8
